2021-01-04T16:31:12,476 | INFO  | CM Configuration Updater (Update: pid=org.ops4j.pax.logging) | .EventAdminConfigurationNotifier   48 | 7 - org.ops4j.pax.logging.pax-logging-log4j2 - 1.11.2.tesb1 | Sending Event Admin nofification (configuration successful) to org/ops4j/pax/logging/Configuration
2021-01-04T16:31:13,289 | WARN  | activator-1-thread-2 | features.internal.model.JaxbUtil  120 | 11 - org.apache.karaf.features.core - 4.2.7 | Old style feature file without namespace found (URI: mvn:org.apache.activemq/activemq-karaf/5.15.10/xml/features). This format is deprecated and support for it will soon be removed
2021-01-04T16:31:13,695 | INFO  | activator-1-thread-2 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 | Adding features: cxf/[3.3.4,3.3.4],management/[4.2.7,4.2.7],system/[4.2.7,4.2.7],eventadmin/[4.2.7,4.2.7],ssh/[4.2.7,4.2.7],log/[4.2.7,4.2.7],aries-blueprint/[4.2.7,4.2.7],bundle/[4.2.7,4.2.7],instance/[4.2.7,4.2.7],cxf-abdera/[3.3.4,3.3.4],service/[4.2.7,4.2.7],deployer/[4.2.7,4.2.7],cxf-jackson/[3.3.4,3.3.4],kar/[4.2.7,4.2.7],diagnostic/[4.2.7,4.2.7],jaas/[4.2.7,4.2.7],framework/[4.2.7,4.2.7],config/[4.2.7,4.2.7],webconsole/[4.2.7,4.2.7],cxf-commands/[3.3.4,3.3.4],package/[4.2.7,4.2.7],aries-blueprint-spring/[0,0.0.0],shell-compat/[4.2.7,4.2.7],feature/[4.2.7,4.2.7],wrap/[2.6.1,2.6.1],shell/[4.2.7,4.2.7]
2021-01-04T16:31:13,914 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 | Changes to perform:
2021-01-04T16:31:13,914 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |   Region: root
2021-01-04T16:31:13,914 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |     Bundles to install:
2021-01-04T16:31:13,914 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.ops4j.pax.url/pax-url-wrap/2.6.1/jar/uber
2021-01-04T16:31:13,914 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 | Installing bundles:
2021-01-04T16:31:13,914 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |   mvn:org.ops4j.pax.url/pax-url-wrap/2.6.1/jar/uber
2021-01-04T16:31:13,992 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 | Starting bundles:
2021-01-04T16:31:13,992 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |   org.ops4j.pax.url.wrap/2.6.1
2021-01-04T16:31:13,992 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 | Done.
2021-01-04T16:31:23,290 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 | Changes to perform:
2021-01-04T16:31:23,290 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |   Region: root
2021-01-04T16:31:23,306 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |     Bundles to install:
2021-01-04T16:31:23,306 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:com.fasterxml.jackson.core/jackson-annotations/2.10.1
2021-01-04T16:31:23,306 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:com.fasterxml.jackson.core/jackson-core/2.10.1
2021-01-04T16:31:23,306 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:com.fasterxml.jackson.core/jackson-databind/2.10.1
2021-01-04T16:31:23,306 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:com.fasterxml.jackson.dataformat/jackson-dataformat-yaml/2.10.1
2021-01-04T16:31:23,306 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:com.fasterxml.jackson.jaxrs/jackson-jaxrs-base/2.10.1
2021-01-04T16:31:23,306 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:com.fasterxml.jackson.jaxrs/jackson-jaxrs-json-provider/2.10.1
2021-01-04T16:31:23,306 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:com.fasterxml.jackson.module/jackson-module-jaxb-annotations/2.10.1
2021-01-04T16:31:23,306 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:com.fasterxml.woodstox/woodstox-core/5.0.3
2021-01-04T16:31:23,306 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:com.google.guava/guava/20.0
2021-01-04T16:31:23,306 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:io.dropwizard.metrics/metrics-core/3.2.6
2021-01-04T16:31:23,306 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:javax.annotation/javax.annotation-api/1.3.2
2021-01-04T16:31:23,306 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:javax.mail/mail/1.4.7
2021-01-04T16:31:23,306 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:javax.servlet/javax.servlet-api/3.1.0
2021-01-04T16:31:23,306 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:javax.websocket/javax.websocket-api/1.1
2021-01-04T16:31:23,306 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:joda-time/joda-time/2.9.4
2021-01-04T16:31:23,306 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:net.sf.ehcache/ehcache/2.10.6
2021-01-04T16:31:23,306 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.abdera/abdera-core/1.1.3
2021-01-04T16:31:23,306 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.abdera/abdera-extensions-main/1.1.3
2021-01-04T16:31:23,306 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.abdera/abdera-i18n/1.1.3
2021-01-04T16:31:23,306 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.api/1.0.1
2021-01-04T16:31:23,306 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.cm/1.3.1
2021-01-04T16:31:23,306 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.core/1.10.2
2021-01-04T16:31:23,306 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.core.compatibility/1.0.0
2021-01-04T16:31:23,306 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.spring/0.6.0
2021-01-04T16:31:23,306 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.spring.extender/0.4.0
2021-01-04T16:31:23,306 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.api/1.1.5
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.blueprint.api/1.2.0
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.blueprint.core/1.2.0
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.8
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.whiteboard/1.2.0
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.aries.proxy/org.apache.aries.proxy/1.1.6
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.aries.spifly/org.apache.aries.spifly.dynamic.bundle/1.2.2
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.aries/org.apache.aries.util/1.1.3
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:commons-codec/commons-codec/1.13
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.commons/commons-lang3/3.9
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-core/3.3.4
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-bindings-coloc/3.3.4
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-bindings-corba/3.3.4
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-bindings-soap/3.3.4
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-bindings-xml/3.3.4
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-databinding-aegis/3.3.4
